,r,init_binary,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
0,0.0,0.08084144987654088,0.08502531995606753,0.06367761550749743,0.08892586902089344,0.08756598490809583,0.07334834649048576,0.0836491033513009,0.08078018447579649,0.08325484866116907,0.07658171325827912,0.06263364845369462
1,1.0,0.03944885728394886,0.0416243170253725,0.02800676765970214,0.04415384817595655,0.04510252656213249,0.03437606645764894,0.04096432272609122,0.03894861857814034,0.041040577478423344,0.0361175706683946,0.026951507611260358
2,2.0,0.01313619226337376,0.014407120844005271,0.005067239484102633,0.01479494340021088,0.017351157030432177,0.009790072404610361,0.013398308750038692,0.01362362301112464,0.013866930963329367,0.009507086461681155,0.005901255027083878
3,3.0,0.005949334650206304,0.007397147237653495,0.0006446813728410288,0.006388067796349359,0.007883579644567762,0.0031788400628229535,0.005734133775155213,0.00689466062304083,0.005845640704533531,0.0019135495145720127,0.0012796167199667244
4,4.0,0.003836431275720726,0.005414050958531981,0.00039740817351685033,0.0036192911578912636,0.0042903475609215175,0.0020626272515608716,0.0035833912711468654,0.005350142792400053,0.0033839294977262386,0.0006472965159007838,0.0009998741863423534
5,5.0,0.0017775234412556837,0.0024696500455253425,0.0007260730364648544,0.002355179712408881,0.003951580308566476,-4.3321174262090923e-05,0.002743897626529533,0.002182279442105374,0.0010605244763197933,-0.00018920556565412108,-3.9922264759545615e-05
6,6.0,0.0015897178600823075,0.002449482496485088,0.0007953753460150046,0.002638331795770733,0.0023235108608614997,-6.034394001820395e-05,0.0028956572550336928,0.0019482560600121062,0.000702686023644536,0.0003949595149362737,-0.0004164773300660977
7,7.0,0.000604533991769534,0.0012114115529716265,0.0005168650405794557,0.001641352251977943,0.0011597175145798711,-0.0009245381366922089,0.0015850683458647717,0.0006107428433924984,0.0007830263293915693,0.00015176093209881387,6.797913697198293e-05
8,8.0,0.0008003529218106799,-0.00035086786268818834,0.00016559494166776766,0.00033101610756543264,0.0010220652306799278,-0.0007706700214773714,-0.00034665714210177246,-0.00044895760130276836,-8.726824746815985e-05,5.513795820216175e-05,0.0001276109608967529
9,9.0,0.00011970897119340671,-0.0006851650512300473,-0.0004678785016006552,0.00028083501206807804,0.0015741994613261907,-0.00020669230372100174,-0.0009426229689482872,-0.0020580629033579456,0.0007920019086850566,0.0005867216849990431,0.00025558648634643234
10,10.0,-0.001431585612741184,-0.0011586344632600648,-0.0005258244028000676,-0.0003663219082251503,0.0010881265119039379,-0.000501576126476948,3.424963558116396e-05,-0.000843616586686985,4.1200914168223866e-05,0.0005127396917525072,0.0003216910586905625
11,11.0,-0.0005628470781893144,0.0017080128804834375,-0.0018750964607427327,0.00036909973598091473,0.00162408890518119,-0.0010550583227214416,-0.001200421146915756,-0.0014566954450519495,0.0012620264802873159,-0.000880767301250567,0.001398348103568969
12,12.0,-0.0006746758847736733,0.0017787785058549764,-0.0015471378345613858,-0.0003024743487154361,0.00048432522379900637,-0.0009681364115785404,-0.0011057607455291331,-0.001173393546175715,0.0007973573619677547,-0.0007499736918067086,0.0008393236028721117
13,13.0,-0.00010851479963659394,0.001512196608975727,-0.00030949776058161916,-0.0005484214463195671,0.0002608843389558292,-0.0005610328526247184,-0.001027177228490622,-0.0006150669819576791,0.00035108381852463406,0.0004056939161878426,0.0007740834777892592
14,14.0,-0.000179573991769557,0.0027913589820825315,-0.0001492211323799001,-0.0004914196499992297,-0.000573102768516332,-0.0015285426119311506,0.00029261530798886225,-0.00031927955939097425,0.0014145712261749495,0.0007116567420772237,-3.9911312040938225e-05
15,15.0,-0.0001369993146277705,0.0017551003953412373,0.00023484051855537336,-0.00013465861393832648,0.0004916913316055668,9.005772340331762e-05,0.0004410430079676671,-0.0006219618824516694,-0.0006496512588648617,-0.00018040701427819426,0.000635877048403914
16,16.0,0.0007923516049382541,-0.0005226142235793204,-0.00010028077157785465,0.0017400362308140267,-0.0009085422593240767,-0.001231972993758029,0.0007143423676172222,0.00021676886796436018,0.0014487807486078602,0.001281473568756628,0.00035397638310967375
